id,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT
geor_niang_tot_25,32.0,79,0.696,21.5,118.7,114.1,4.7,0.087,1.35,0.077,0.607,0.177,0.071,3633,3.6,7.8,0.461
geor_kalaitzakis_tot_22,23.0,13,0.615,16.4,95.7,124.9,-29.3,0.09,0.6,0.048,0.536,0.2,0.043,441,2.4,5.2,0.463
gera_green_hou_18,32.0,41,0.805,22.7,107.3,102.7,4.6,0.045,0.81,0.069,0.566,0.219,0.088,1929,4.1,10.1,0.407
glen_robinson_tot_20,26.0,62,0.274,28.8,106.5,114.3,-7.8,0.081,1.75,0.074,0.577,0.16,0.084,3771,4.6,9.5,0.486
glen_robinson_sac_21,27.0,23,0.391,16.1,105.2,122.5,-17.3,0.075,1.82,0.06,0.554,0.135,0.057,793,1.8,4.3,0.424
gord_hayward_tot_24,34.0,51,0.49,24.4,112.0,118.0,-6.0,0.17,2.39,0.072,0.548,0.175,0.087,2617,3.7,7.9,0.464
gorg_dieng_tot_20,30.0,63,0.317,17.4,99.6,103.2,-3.6,0.107,1.22,0.146,0.568,0.175,0.131,2347,2.6,5.8,0.456
gorg_dieng_sas_23,33.0,31,0.097,11.6,99.6,118.2,-18.6,0.221,1.66,0.135,0.493,0.177,0.076,765,1.5,3.8,0.385
gran_williams_tot_24,25.0,76,0.447,28.0,110.8,116.6,-5.7,0.114,1.6,0.075,0.588,0.157,0.065,4429,3.6,8.0,0.456
greg_brown_por_22,20.0,48,0.292,13.3,99.1,116.8,-17.6,0.087,0.97,0.103,0.515,0.168,0.064,1359,1.7,4.0,0.426
greg_monroe_tot_22,32.0,14,0.5,13.9,109.8,108.9,0.9,0.162,1.83,0.158,0.566,0.164,0.11,418,2.3,4.1,0.561
guer_yabusele_tot_26,30.0,67,0.478,15.0,107.4,115.3,-7.9,0.087,1.54,0.11,0.543,0.155,0.077,2182,1.9,4.7,0.401
hami_diallo_okc_19,20.0,51,0.569,10.3,103.5,110.3,-6.8,0.044,0.74,0.086,0.497,0.16,0.049,1142,1.5,3.2,0.455
